"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"190","88",5,2,"SALBUTAMOL_PDR.FOR.INH.200MCG..60.D.","2","0"
"312","88",5,3,"CONVATEC_ORABASE.PASTE.30G","2","0"
"434","88",5,4,"NASEPTIN_CRM","1","0"
"556","88",5,5,"VENTOLIN_ACCUHALER.200MCG..60.D.","1","0"
"67","34",5,1,"I469_CARDIAC.ARREST..UNSPECIFIED","3","0"
"189","34",5,2,"td_lignocaine","2","0.01"
"311","34",5,3,"G931_ANOXIC.BRAIN.DAMAGE..NOT.ELSEWHERE.CLASSIFIED","2","0"
"433","34",5,4,"I460_CARDIAC.ARREST.WITH.SUCCESSFUL.RESUSCITATION","1","0"
"555","34",5,5,"PARACET_ORAL.SUSP.250MG.5ML.S.F","1","0"
"71","95",4,1,"SUBOXONE_TAB.SUBLING.8MG.2MG","3","0"
"193","95",4,2,"SUBUTEX_TAB.SUBLING.8MG","2","0"
"315","95",4,3,"SUBOXONE_TAB.SUBLING.2MG.0.5MG","1","0"
"437","95",4,4,"SUBUTEX_TAB.SUBLING.2MG","1","0"
"559","95",4,5,"NA","NA","NA"
"70","76",4,1,"LEVOTHYROX.SOD_TAB.100MCG","3","0"
"192","76",4,2,"LEVOTHYROX.SOD_TAB.50MCG","3","0"
"314","76",4,3,"E039_HYPOTHYROIDISM..UNSPECIFIED","2","0"
"436","76",4,4,"LEVOTHYROX.SOD_TAB.25MCG","2","0"
"558","76",4,5,"NA","NA","NA"
"69","30",4,1,"CLOMIPRAMINE.HCL_CAP.50MG","3","0"
"191","30",4,2,"pc_obsessive_compulsive_disorder","1","0"
"313","30",4,3,"td_anti_depressants","1","0"
"435","30",4,4,"CLOMIPRAMINE.HCL_CAP.25MG","1","0"
"557","30",4,5,"NA","NA","NA"
"76","99",3,1,"VENLALIC.XL_TAB.225MG","2","0"
"198","99",3,2,"XYLOMET.HCL_NSL.DPS.0.1.","1","0"
"320","99",3,3,"VENLAFAXINE_TAB.225MG.M.R","1","0"
"442","99",3,4,"NA","NA","NA"
"564","99",3,5,"NA","NA","NA"
"75","78",3,1,"N508_OTHER.SPECIFIED.DISORDERS.OF.MALE.GENITAL.ORGANS","2","0"
"197","78",3,2,"N459_ORCHITIS..EPIDIDYMITIS.AND.EPIDIDYMO.ORCHITIS.WITHOUT.ABSCESS","1","0"
"319","78",3,3,"AZITHROMYCIN_TAB.500MG","1","0"
"441","78",3,4,"NA","NA","NA"
"563","78",3,5,"NA","NA","NA"
"74","32",3,1,"DOSULEPIN.HCL_TAB.75MG","2","0"
"196","32",3,2,"td_dothiepin","1","0"
"318","32",3,3,"DOSULEPIN.HCL_CAP.25MG","1","0"
"440","32",3,4,"NA","NA","NA"
"562","32",3,5,"NA","NA","NA"
"73","6",3,1,"chnd_employability_services","2","0"
"195","6",3,2,"rse_debt","1","0"
"317","6",3,3,"es_support_into_employment","1","0"
"439","6",3,4,"NA","NA","NA"
"561","6",3,5,"NA","NA","NA"
"72","3",3,1,"rse_childcustodyissues","2","0"
"194","3",3,2,"rse_lossofchildcustody","1","0"
"316","3",3,3,"rse_childcustodyhearings","1","0"
"438","3",3,4,"NA","NA","NA"
"560","3",3,5,"NA","NA","NA"
"98","109",2,1,"CELEBREX_CAP.100MG","1","0"
"220","109",2,2,"CELECOXIB_CAP.100MG","1","0"
"342","109",2,3,"NA","NA","NA"
"464","109",2,4,"NA","NA","NA"
"586","109",2,5,"NA","NA","NA"
"97","108",2,1,"BUPRENORPHINE_TAB.SUBLING.2MG.S.F","1","0"
"219","108",2,2,"BUPRENORPHINE_TAB.SUBLING.8MG.S.F","1","0"
"341","108",2,3,"NA","NA","NA"
"463","108",2,4,"NA","NA","NA"
"585","108",2,5,"NA","NA","NA"
"96","106",2,1,"MOTILIUM.10_TAB.10MG","1","0"
"218","106",2,2,"BUCCASTEM.M_TAB.3MG","1","0"
"340","106",2,3,"NA","NA","NA"
"462","106",2,4,"NA","NA","NA"
"584","106",2,5,"NA","NA","NA"
"95","105",2,1,"IBUPROFEN_TAB.600MG","1","0"
"217","105",2,2,"DERMOVATE_OINT.0.05.","1","0"
"339","105",2,3,"NA","NA","NA"
"461","105",2,4,"NA","NA","NA"
"583","105",2,5,"NA","NA","NA"
"94","104",2,1,"DERMOL.200_SHOWER.EMOLLIENT","1","0"
"216","104",2,2,"DERMOL_CRM","1","0"
"338","104",2,3,"NA","NA","NA"
"460","104",2,4,"NA","NA","NA"
"582","104",2,5,"NA","NA","NA"
"93","103",2,1,"ALGESAL_CRM.10.","1","0"
"215","103",2,2,"MAG.SULF_PASTE","1","0"
"337","103",2,3,"NA","NA","NA"
"459","103",2,4,"NA","NA","NA"
"581","103",2,5,"NA","NA","NA"
"92","101",2,1,"LEVETIRACETAM_TAB.500MG","1","0"
"214","101",2,2,"LEVETIRACETAM_TAB.250MG","1","0"
"336","101",2,3,"NA","NA","NA"
"458","101",2,4,"NA","NA","NA"
"580","101",2,5,"NA","NA","NA"
"91","100",2,1,"NAPROXEN_TAB.250MG","1","0"
"213","100",2,2,"NAPROXEN_TAB.E.C.250MG","1","0"
"335","100",2,3,"NA","NA","NA"
"457","100",2,4,"NA","NA","NA"
"579","100",2,5,"NA","NA","NA"
"90","98",2,1,"PROCTOSEDYL_OINT","1","0"
"212","98",2,2,"PROCTOSEDYL_SUPPOS","1","0"
"334","98",2,3,"NA","NA","NA"
"456","98",2,4,"NA","NA","NA"
"578","98",2,5,"NA","NA","NA"
"89","96",2,1,"NICORETTE_PATCH.15MG.16HRS","1","0"
"211","96",2,2,"NICORETTE_PATCH.10MG.16HRS","1","0"
"333","96",2,3,"NA","NA","NA"
"455","96",2,4,"NA","NA","NA"
"577","96",2,5,"NA","NA","NA"
"88","91",2,1,"DALTEPARIN.SOD_INJ.25.000U.ML.0.5ML.PFS","1","0"
"210","91",2,2,"FRAGMIN_INJ.25.000U.ML.0.5ML.PFS","1","0"
"332","91",2,3,"NA","NA","NA"
"454","91",2,4,"NA","NA","NA"
"576","91",2,5,"NA","NA","NA"
"87","86",2,1,"FUSIDIC.ACID_CRM.2.","1","0"
"209","86",2,2,"FUCIDIN.H_CRM","1","0"
"331","86",2,3,"NA","NA","NA"
"453","86",2,4,"NA","NA","NA"
"575","86",2,5,"NA","NA","NA"
"86","73",2,1,"R298_OTHER...UNSPEC.SYMPTOMS...SIGNS.INVOLVING.THE.NERVOUS...MUSCULOSKEL.SYST","1","0"
"208","73",2,2,"R202_PARAESTHESIA.OF.SKIN","1","0"
"330","73",2,3,"NA","NA","NA"
"452","73",2,4,"NA","NA","NA"
"574","73",2,5,"NA","NA","NA"
"85","72",2,1,"N832_OTHER.AND.UNSPECIFIED.OVARIAN.CYSTS","1","0"
"207","72",2,2,"N939_ABNORMAL.UTERINE.AND.VAGINAL.BLEEDING..UNSPECIFIED","1","0"
"329","72",2,3,"NA","NA","NA"
"451","72",2,4,"NA","NA","NA"
"573","72",2,5,"NA","NA","NA"
"84","71",2,1,"M950_ACQUIRED.DEFORMITY.OF.NOSE","1","0"
"206","71",2,2,"J342_DEVIATED.NASAL.SEPTUM","1","0"
"328","71",2,3,"NA","NA","NA"
"450","71",2,4,"NA","NA","NA"
"572","71",2,5,"NA","NA","NA"
"83","55",2,1,"K011_IMPACTED.TEETH","1","0"
"205","55",2,2,"K029_DENTAL.CARIES..UNSPECIFIED","1","0"
"327","55",2,3,"NA","NA","NA"
"449","55",2,4,"NA","NA","NA"
"571","55",2,5,"NA","NA","NA"
"82","54",2,1,"Z722_DRUG.USE","1","0"
"204","54",2,2,"W019_FALL.ON.SAME.LEVEL.BY.SLIPPING.TRIPPING.STUMBLING.IN.UNPEC..PLACE","1","0"
"326","54",2,3,"NA","NA","NA"
"448","54",2,4,"NA","NA","NA"
"570","54",2,5,"NA","NA","NA"
"81","38",2,1,"E669_OBESITY..UNSPECIFIED","1","0"
"203","38",2,2,"BD.MICROFINE..NEEDLES.PEN.INJ.SCREW.ON.8MM","1","0"
"325","38",2,3,"NA","NA","NA"
"447","38",2,4,"NA","NA","NA"
"569","38",2,5,"NA","NA","NA"
"80","24",2,1,"mc_no_known_medical_conditions","1","0"
"202","24",2,2,"pc_no_known_psychiatric_conditions","1","0"
"324","24",2,3,"NA","NA","NA"
"446","24",2,4,"NA","NA","NA"
"568","24",2,5,"NA","NA","NA"
"79","23",2,1,"mc_migraine_headaches","1","0"
"201","23",2,2,"SUMATRIPTAN_TAB.50MG","1","0"
"323","23",2,3,"NA","NA","NA"
"445","23",2,4,"NA","NA","NA"
"567","23",2,5,"NA","NA","NA"
"78","22",2,1,"mc_learning_disability","1","0"
"200","22",2,2,"pc_a_dhd_add","1","0"
"322","22",2,3,"NA","NA","NA"
"444","22",2,4,"NA","NA","NA"
"566","22",2,5,"NA","NA","NA"
"77","14",2,1,"lw_prison","1","0"
"199","14",2,2,"lww_other_prisoners","1","0"
"321","14",2,3,"NA","NA","NA"
"443","14",2,4,"NA","NA","NA"
"565","14",2,5,"NA","NA","NA"
"122","122",1,1,"MELOXICAM_TAB.15MG","0","0"
"244","122",1,2,"NA","NA","NA"
"366","122",1,3,"NA","NA","NA"
"488","122",1,4,"NA","NA","NA"
"610","122",1,5,"NA","NA","NA"
"121","121",1,1,"OTEX_EAR.DPS.5.","0","0"
"243","121",1,2,"NA","NA","NA"
"365","121",1,3,"NA","NA","NA"
"487","121",1,4,"NA","NA","NA"
"609","121",1,5,"NA","NA","NA"
"120","120",1,1,"TWINRIX.ADULT_VAC.720U.20MCG.ML.1ML.PFS","0","0"
"242","120",1,2,"NA","NA","NA"
"364","120",1,3,"NA","NA","NA"
"486","120",1,4,"NA","NA","NA"
"608","120",1,5,"NA","NA","NA"
"119","119",1,1,"CLEMENT.CLARKE.STND.RANGE.PEAK.FLOW.METER.HAND.HELD","0","0"
"241","119",1,2,"NA","NA","NA"
"363","119",1,3,"NA","NA","NA"
"485","119",1,4,"NA","NA","NA"
"607","119",1,5,"NA","NA","NA"
"118","118",1,1,"HYDROCORT_CRM.0.5.","0","0"
"240","118",1,2,"NA","NA","NA"
"362","118",1,3,"NA","NA","NA"
"484","118",1,4,"NA","NA","NA"
"606","118",1,5,"NA","NA","NA"
"117","117",1,1,"F172_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.TOBACCO.DEPENDENCE.SYNDROME","0","0"
"239","117",1,2,"NA","NA","NA"
"361","117",1,3,"NA","NA","NA"
"483","117",1,4,"NA","NA","NA"
"605","117",1,5,"NA","NA","NA"
"116","116",1,1,"EPADERM.OINT","0","0"
"238","116",1,2,"NA","NA","NA"
"360","116",1,3,"NA","NA","NA"
"482","116",1,4,"NA","NA","NA"
"604","116",1,5,"NA","NA","NA"
"115","115",1,1,"R092_RESPIRATORY.ARREST","0","0"
"237","115",1,2,"NA","NA","NA"
"359","115",1,3,"NA","NA","NA"
"481","115",1,4,"NA","NA","NA"
"603","115",1,5,"NA","NA","NA"
"114","114",1,1,"FERR.FUMAR_TAB.322MG","0","0"
"236","114",1,2,"NA","NA","NA"
"358","114",1,3,"NA","NA","NA"
"480","114",1,4,"NA","NA","NA"
"602","114",1,5,"NA","NA","NA"
"113","113",1,1,"W189_OTHER.FALL.ON.SAME.LEVEL.IN.UNSPECIFIED.PLACE","0","0"
"235","113",1,2,"NA","NA","NA"
"357","113",1,3,"NA","NA","NA"
"479","113",1,4,"NA","NA","NA"
"601","113",1,5,"NA","NA","NA"
"112","112",1,1,"TUBIGRIP.6.75CM.X.0.5M.STKNTTE.ELASCTD.TUBLR.BAND","0","0"
"234","112",1,2,"NA","NA","NA"
"356","112",1,3,"NA","NA","NA"
"478","112",1,4,"NA","NA","NA"
"600","112",1,5,"NA","NA","NA"
"111","111",1,1,"mc_stomach_problems_gastritis","0","0"
"233","111",1,2,"NA","NA","NA"
"355","111",1,3,"NA","NA","NA"
"477","111",1,4,"NA","NA","NA"
"599","111",1,5,"NA","NA","NA"
"110","110",1,1,"TERBINAFINE.HCL_CRM.1.","0","0"
"232","110",1,2,"NA","NA","NA"
"354","110",1,3,"NA","NA","NA"
"476","110",1,4,"NA","NA","NA"
"598","110",1,5,"NA","NA","NA"
"109","102",1,1,"SYMBICORT_TURBOHALER.200MCG.6MCG..120.D.","0","0"
"231","102",1,2,"NA","NA","NA"
"353","102",1,3,"NA","NA","NA"
"475","102",1,4,"NA","NA","NA"
"597","102",1,5,"NA","NA","NA"
"108","92",1,1,"DICLOFENAC.SOD_TAB.E.C.25MG","0","0"
"230","92",1,2,"NA","NA","NA"
"352","92",1,3,"NA","NA","NA"
"474","92",1,4,"NA","NA","NA"
"596","92",1,5,"NA","NA","NA"
"107","90",1,1,"AQ_CRM","0","0"
"229","90",1,2,"NA","NA","NA"
"351","90",1,3,"NA","NA","NA"
"473","90",1,4,"NA","NA","NA"
"595","90",1,5,"NA","NA","NA"
"106","80",1,1,"BACTROBAN_CRM.2.","0","0"
"228","80",1,2,"NA","NA","NA"
"350","80",1,3,"NA","NA","NA"
"472","80",1,4,"NA","NA","NA"
"594","80",1,5,"NA","NA","NA"
"105","79",1,1,"J960_ACUTE.RESPIRATORY.FAILURE","0","0"
"227","79",1,2,"NA","NA","NA"
"349","79",1,3,"NA","NA","NA"
"471","79",1,4,"NA","NA","NA"
"593","79",1,5,"NA","NA","NA"
"104","77",1,1,"S014_OPEN.WOUND.OF.CHEEK.AND.TEMPOROMANDIBULAR.AREA","0","0"
"226","77",1,2,"NA","NA","NA"
"348","77",1,3,"NA","NA","NA"
"470","77",1,4,"NA","NA","NA"
"592","77",1,5,"NA","NA","NA"
"103","70",1,1,"R798_OTHER.SPECIFIED.ABNORMAL.FINDINGS.OF.BLOOD.CHEMISTRY","0","0"
"225","70",1,2,"NA","NA","NA"
"347","70",1,3,"NA","NA","NA"
"469","70",1,4,"NA","NA","NA"
"591","70",1,5,"NA","NA","NA"
"102","69",1,1,"B349_VIRAL.INFECTION..UNSPECIFIED","0","0"
"224","69",1,2,"NA","NA","NA"
"346","69",1,3,"NA","NA","NA"
"468","69",1,4,"NA","NA","NA"
"590","69",1,5,"NA","NA","NA"
"101","57",1,1,"F339_RECURRENT.DEPRESSIVE.DISORDER..UNSPECIFIED","0","0"
"223","57",1,2,"NA","NA","NA"
"345","57",1,3,"NA","NA","NA"
"467","57",1,4,"NA","NA","NA"
"589","57",1,5,"NA","NA","NA"
"100","15",1,1,"mc_arthritis","0","0"
"222","15",1,2,"NA","NA","NA"
"344","15",1,3,"NA","NA","NA"
"466","15",1,4,"NA","NA","NA"
"588","15",1,5,"NA","NA","NA"
"99","12",1,1,"es_full_time_education_training","0","0"
"221","12",1,2,"NA","NA","NA"
"343","12",1,3,"NA","NA","NA"
"465","12",1,4,"NA","NA","NA"
"587","12",1,5,"NA","NA","NA"
