"Subsystem","Number.of.factors","variable","factor","degree","betweenness","community","Label","Group"
8,2,2,"lww_other_prisoners",1,0,8,"Prison","Distinct condition"
8,2,3,NA,NA,NA,8,"Prison","Distinct condition"
8,2,4,NA,NA,NA,8,"Prison","Distinct condition"
8,2,5,NA,NA,NA,8,"Prison","Distinct condition"
78,1,1,"MELOXICAM_TAB.15MG",0,0,78,"Meloxican anti inflammatory","Distinct condition"
78,1,2,NA,NA,NA,78,"Meloxican anti inflammatory","Distinct condition"
78,1,3,NA,NA,NA,78,"Meloxican anti inflammatory","Distinct condition"
78,1,4,NA,NA,NA,78,"Meloxican anti inflammatory","Distinct condition"
78,1,5,NA,NA,NA,78,"Meloxican anti inflammatory","Distinct condition"
77,1,1,"OTEX_EAR.DPS.5.",0,0,77,"Otex ear drops","Distinct condition"
77,1,2,NA,NA,NA,77,"Otex ear drops","Distinct condition"
77,1,3,NA,NA,NA,77,"Otex ear drops","Distinct condition"
77,1,4,NA,NA,NA,77,"Otex ear drops","Distinct condition"
77,1,5,NA,NA,NA,77,"Otex ear drops","Distinct condition"
76,1,1,"TWINRIX.ADULT_VAC.720U.20MCG.ML.1ML.PFS",0,0,76,"Twinrix hepatitis A vaccine","Distinct condition"
76,1,2,NA,NA,NA,76,"Twinrix hepatitis A vaccine","Distinct condition"
76,1,3,NA,NA,NA,76,"Twinrix hepatitis A vaccine","Distinct condition"
76,1,4,NA,NA,NA,76,"Twinrix hepatitis A vaccine","Distinct condition"
76,1,5,NA,NA,NA,76,"Twinrix hepatitis A vaccine","Distinct condition"
75,1,1,"CLEMENT.CLARKE.STND.RANGE.PEAK.FLOW.METER.HAND.HELD",0,0,75,"Peak flow meter","Distinct condition"
75,1,2,NA,NA,NA,75,"Peak flow meter","Distinct condition"
75,1,3,NA,NA,NA,75,"Peak flow meter","Distinct condition"
75,1,4,NA,NA,NA,75,"Peak flow meter","Distinct condition"
75,1,5,NA,NA,NA,75,"Peak flow meter","Distinct condition"
74,1,1,"HYDROCORT_CRM.0.5.",0,0,74,"Hydrocortisone cream","Distinct condition"
74,1,2,NA,NA,NA,74,"Hydrocortisone cream","Distinct condition"
74,1,3,NA,NA,NA,74,"Hydrocortisone cream","Distinct condition"
74,1,4,NA,NA,NA,74,"Hydrocortisone cream","Distinct condition"
74,1,5,NA,NA,NA,74,"Hydrocortisone cream","Distinct condition"
73,1,1,"F172_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.TOBACCO.DEPENDENCE.SYNDROME",0,0,73,"Tobacco related mental disorder","Distinct condition"
73,1,2,NA,NA,NA,73,"Tobacco related mental disorder","Distinct condition"
73,1,3,NA,NA,NA,73,"Tobacco related mental disorder","Distinct condition"
73,1,4,NA,NA,NA,73,"Tobacco related mental disorder","Distinct condition"
73,1,5,NA,NA,NA,73,"Tobacco related mental disorder","Distinct condition"
72,1,1,"EPADERM.OINT",0,0,72,"Epaderm ointment","Distinct condition"
72,1,2,NA,NA,NA,72,"Epaderm ointment","Distinct condition"
72,1,3,NA,NA,NA,72,"Epaderm ointment","Distinct condition"
72,1,4,NA,NA,NA,72,"Epaderm ointment","Distinct condition"
72,1,5,NA,NA,NA,72,"Epaderm ointment","Distinct condition"
71,1,1,"R092_RESPIRATORY.ARREST",0,0,71,"Respiratory failure","Distinct condition"
71,1,2,NA,NA,NA,71,"Respiratory failure","Distinct condition"
71,1,3,NA,NA,NA,71,"Respiratory failure","Distinct condition"
71,1,4,NA,NA,NA,71,"Respiratory failure","Distinct condition"
71,1,5,NA,NA,NA,71,"Respiratory failure","Distinct condition"
70,1,1,"FERR.FUMAR_TAB.322MG",0,0,70,"Iron tablets","Distinct condition"
70,1,2,NA,NA,NA,70,"Iron tablets","Distinct condition"
70,1,3,NA,NA,NA,70,"Iron tablets","Distinct condition"
70,1,4,NA,NA,NA,70,"Iron tablets","Distinct condition"
70,1,5,NA,NA,NA,70,"Iron tablets","Distinct condition"
69,1,1,"W189_OTHER.FALL.ON.SAME.LEVEL.IN.UNSPECIFIED.PLACE",0,0,69,"Fall","Distinct condition"
69,1,2,NA,NA,NA,69,"Fall","Distinct condition"
69,1,3,NA,NA,NA,69,"Fall","Distinct condition"
69,1,4,NA,NA,NA,69,"Fall","Distinct condition"
69,1,5,NA,NA,NA,69,"Fall","Distinct condition"
68,1,1,"TUBIGRIP.6.75CM.X.0.5M.STKNTTE.ELASCTD.TUBLR.BAND",0,0,68,"Tubigrip dressing","Distinct condition"
68,1,2,NA,NA,NA,68,"Tubigrip dressing","Distinct condition"
68,1,3,NA,NA,NA,68,"Tubigrip dressing","Distinct condition"
68,1,4,NA,NA,NA,68,"Tubigrip dressing","Distinct condition"
68,1,5,NA,NA,NA,68,"Tubigrip dressing","Distinct condition"
67,1,1,"mc_stomach_problems_gastritis",0,0,67,"Stomach problems","Distinct condition"
67,1,2,NA,NA,NA,67,"Stomach problems","Distinct condition"
67,1,3,NA,NA,NA,67,"Stomach problems","Distinct condition"
67,1,4,NA,NA,NA,67,"Stomach problems","Distinct condition"
67,1,5,NA,NA,NA,67,"Stomach problems","Distinct condition"
66,1,1,"TERBINAFINE.HCL_CRM.1.",0,0,66,"Terbinafine","Distinct condition"
66,1,2,NA,NA,NA,66,"Terbinafine","Distinct condition"
66,1,3,NA,NA,NA,66,"Terbinafine","Distinct condition"
66,1,4,NA,NA,NA,66,"Terbinafine","Distinct condition"
66,1,5,NA,NA,NA,66,"Terbinafine","Distinct condition"
59,1,1,"SYMBICORT_TURBOHALER.200MCG.6MCG..120.D.",0,0,59,"Symbicort turbohaler","Distinct condition"
59,1,2,NA,NA,NA,59,"Symbicort turbohaler","Distinct condition"
59,1,3,NA,NA,NA,59,"Symbicort turbohaler","Distinct condition"
59,1,4,NA,NA,NA,59,"Symbicort turbohaler","Distinct condition"
59,1,5,NA,NA,NA,59,"Symbicort turbohaler","Distinct condition"
52,1,1,"DICLOFENAC.SOD_TAB.E.C.25MG",0,0,52,"Diclofenac Anti inflammatory","Distinct condition"
52,1,2,NA,NA,NA,52,"Diclofenac Anti inflammatory","Distinct condition"
52,1,3,NA,NA,NA,52,"Diclofenac Anti inflammatory","Distinct condition"
52,1,4,NA,NA,NA,52,"Diclofenac Anti inflammatory","Distinct condition"
52,1,5,NA,NA,NA,52,"Diclofenac Anti inflammatory","Distinct condition"
50,1,1,"AQ_CRM",0,0,50,"AQ_CRM Aqueous cream","Distinct condition"
50,1,2,NA,NA,NA,50,"AQ_CRM Aqueous cream","Distinct condition"
50,1,3,NA,NA,NA,50,"AQ_CRM Aqueous cream","Distinct condition"
50,1,4,NA,NA,NA,50,"AQ_CRM Aqueous cream","Distinct condition"
50,1,5,NA,NA,NA,50,"AQ_CRM Aqueous cream","Distinct condition"
47,1,1,"BACTROBAN_CRM.2.",0,0,47,"Bactroban antibiotic cream","Distinct condition"
47,1,2,NA,NA,NA,47,"Bactroban antibiotic cream","Distinct condition"
47,1,3,NA,NA,NA,47,"Bactroban antibiotic cream","Distinct condition"
47,1,4,NA,NA,NA,47,"Bactroban antibiotic cream","Distinct condition"
47,1,5,NA,NA,NA,47,"Bactroban antibiotic cream","Distinct condition"
46,1,1,"J960_ACUTE.RESPIRATORY.FAILURE",0,0,46,"Respiratory failure","Distinct condition"
46,1,2,NA,NA,NA,46,"Respiratory failure","Distinct condition"
46,1,3,NA,NA,NA,46,"Respiratory failure","Distinct condition"
46,1,4,NA,NA,NA,46,"Respiratory failure","Distinct condition"
46,1,5,NA,NA,NA,46,"Respiratory failure","Distinct condition"
44,1,1,"S014_OPEN.WOUND.OF.CHEEK.AND.TEMPOROMANDIBULAR.AREA",0,0,44,"Open wound of cheek","Distinct condition"
44,1,2,NA,NA,NA,44,"Open wound of cheek","Distinct condition"
44,1,3,NA,NA,NA,44,"Open wound of cheek","Distinct condition"
44,1,4,NA,NA,NA,44,"Open wound of cheek","Distinct condition"
44,1,5,NA,NA,NA,44,"Open wound of cheek","Distinct condition"
39,1,1,"R798_OTHER.SPECIFIED.ABNORMAL.FINDINGS.OF.BLOOD.CHEMISTRY",0,0,39,"Unspecified abnormal blood chemistry","Distinct condition"
39,1,2,NA,NA,NA,39,"Unspecified abnormal blood chemistry","Distinct condition"
39,1,3,NA,NA,NA,39,"Unspecified abnormal blood chemistry","Distinct condition"
39,1,4,NA,NA,NA,39,"Unspecified abnormal blood chemistry","Distinct condition"
39,1,5,NA,NA,NA,39,"Unspecified abnormal blood chemistry","Distinct condition"
38,1,1,"B349_VIRAL.INFECTION..UNSPECIFIED",0,0,38,"Unspecified viral infection","Distinct condition"
38,1,2,NA,NA,NA,38,"Unspecified viral infection","Distinct condition"
38,1,3,NA,NA,NA,38,"Unspecified viral infection","Distinct condition"
38,1,4,NA,NA,NA,38,"Unspecified viral infection","Distinct condition"
38,1,5,NA,NA,NA,38,"Unspecified viral infection","Distinct condition"
32,1,1,"F339_RECURRENT.DEPRESSIVE.DISORDER..UNSPECIFIED",0,0,32,"Recurrent depression","Distinct condition"
32,1,2,NA,NA,NA,32,"Recurrent depression","Distinct condition"
32,1,3,NA,NA,NA,32,"Recurrent depression","Distinct condition"
32,1,4,NA,NA,NA,32,"Recurrent depression","Distinct condition"
32,1,5,NA,NA,NA,32,"Recurrent depression","Distinct condition"
9,1,1,"mc_arthritis",0,0,9,"Arthritis","Distinct condition"
9,1,2,NA,NA,NA,9,"Arthritis","Distinct condition"
9,1,3,NA,NA,NA,9,"Arthritis","Distinct condition"
9,1,4,NA,NA,NA,9,"Arthritis","Distinct condition"
9,1,5,NA,NA,NA,9,"Arthritis","Distinct condition"
7,1,1,"es_full_time_education_training",0,0,7,"In education or training","Distinct condition"
7,1,2,NA,NA,NA,7,"In education or training","Distinct condition"
7,1,3,NA,NA,NA,7,"In education or training","Distinct condition"
7,1,4,NA,NA,NA,7,"In education or training","Distinct condition"
7,1,5,NA,NA,NA,7,"In education or training","Distinct condition"
